Vendor ID,Vendor Zip Code,Vendor Suburb,Vendor State,Vendor Region
145768,5158,SHEIDOW PARK,SA,Central
145568,3515,SHELBOURNE,VIC,Southern
146268,3329,SHELFORD,VIC,Southern
147708,2529,SHELL COVE,NSW,Eastern
26872,3701,SHELLEY,VIC,Southern
149840,6148,SHELLEY,WA,Western
147708,2529,SHELLHARBOUR,NSW,Eastern
147708,2529,SHELLHARBOUR CITY CENTRE,NSW,Eastern
6492,2261,SHELLY BEACH,NSW,Eastern
150268,6008,SHENTON PARK,WA,Western
145568,3461,SHEPHERDS FLAT,VIC,Southern
147716,3632,SHEPPARTON,VIC,Southern
147716,3630,SHEPPARTON,VIC,Southern
147716,3631,SHEPPARTON EAST,VIC,Southern
147716,3631,SHEPPARTON NORTH,VIC,Southern
147716,3630,SHEPPARTON SOUTH,VIC,Southern
148716,3789,SHERBROOKE,VIC,Southern
147840,5607,SHERINGA,SA,Central
148388,5301,SHERLOCK,SA,Central
57800,6714,SHERLOCK,WA,Western
151468,2440,SHERWOOD,NSW,Eastern
20364,2450,SHERWOOD,NSW,Eastern
147768,5267,SHERWOOD,SA,Central
147368,830,SHOAL BAY,NT,Central
176,2315,SHOAL BAY,NSW,Eastern
34544,2535,SHOALHAVEN HEADS,NSW,Eastern
151392,6169,SHOALWATER,WA,Western
149836,2787,SHOOTERS HILL,NSW,Eastern
149104,3916,SHOREHAM,VIC,Southern
12560,7320,SHOREWELL PARK,TAS,Southern
149488,2430,UPPER LANSDOWNE,NSW,Eastern
149424,3673,UPPER LURG,VIC,Southern
147652,2775,UPPER MACDONALD,NSW,Eastern
6492,2250,UPPER MANGROVE,NSW,Eastern
151528,2346,UPPER MANILLA,NSW,Eastern
146008,6390,UPPER MURRAY,WA,Western
149488,2423,UPPER MYALL,NSW,Eastern
12560,7321,UPPER NATONE,TAS,Southern
36356,2849,UPPER NILE,NSW,Eastern
20364,2450,UPPER ORARA,NSW,Eastern
33572,2446,UPPER PAPPINBARRA,NSW,Eastern
147720,3756,UPPER PLENTY,VIC,Southern
33572,2441,UPPER ROLLANDS PLAINS,NSW,Eastern
148808,2336,UPPER ROUCHEL,NSW,Eastern
149424,3673,UPPER RYANS CREEK,VIC,Southern
151512,7215,UPPER SCAMANDER,TAS,Southern
12560,7321,UPPER STOWPORT,TAS,Southern
31348,5156,UPPER STURT,SA,Central
149848,6069,UPPER SWAN,WA,Western
151468,2447,UPPER TAYLORS ARM,NSW,Eastern
149836,2795,UPPER TURON,NSW,Eastern
4240,6258,UPPER WARREN,WA,Western
57844,7150,UPPER WOODSTOCK,TAS,Southern
33572,2439,UPSALLS CREEK,NSW,Eastern
147720,3664,UPTON HILL,VIC,Southern
148716,3158,UPWEY,VIC,Southern
31348,5142,URAIDLA,SA,Central
151516,852,URALLA,NT,Central
151528,2358,URALLA,NSW,Eastern
